Sale_Price,Gr_Liv_Area,Year_Built,Year_Sold,Neighborhood,Bedroom_AbvGr,Full_Bath
144000,1056,1980,2010,Old_Town,0,0
80400,1844,1900,2010,Old_Town,3,1
96500,1140,1910,2010,Old_Town,3,1
109500,936,1920,2010,Old_Town,2,1
115000,1028,1927,2010,Old_Town,2,1
143000,1347,1957,2010,Old_Town,3,1
107400,1605,1915,2010,Old_Town,3,2
80000,747,1945,2010,Old_Town,2,1
119000,804,1940,2010,Old_Town,2,1
130000,1316,1929,2010,Old_Town,3,1
119000,1251,1938,2010,Old_Town,3,1
129000,1633,1948,2010,Old_Town,3,1
100000,1245,1920,2010,Old_Town,3,1
12789,832,1923,2010,Old_Town,2,1
105900,720,1928,2010,Old_Town,2,1
150000,1566,1900,2010,Old_Town,3,2
139000,1652,1915,2010,Old_Town,4,2
240000,2268,1890,2010,Old_Town,3,3
76500,2256,1910,2010,Old_Town,4,2
149700,1236,1957,2010,Old_Town,2,1
125500,1363,1910,2010,Old_Town,3,1
122500,2290,1885,2010,Old_Town,4,2
140750,1470,1922,2010,Old_Town,2,1
109500,1068,1923,2010,Old_Town,2,1
140000,1710,1921,2010,Old_Town,3,2
149500,1962,1915,2010,Old_Town,4,1
159900,1560,1912,2010,Old_Town,3,1
122000,1324,1920,2010,Old_Town,3,1
140000,1812,1900,2010,Old_Town,4,2
245350,1694,2008,2010,College_Creek,3,2
206000,1208,2006,2010,College_Creek,2,2
198900,1226,2009,2010,College_Creek,3,2
187000,1222,2010,2010,College_Creek,2,2
159000,965,1996,2010,College_Creek,2,1
191000,1692,1997,2010,College_Creek,3,2
200500,1682,1998,2010,College_Creek,3,2
150000,1026,1977,2010,College_Creek,3,1
161750,1392,1977,2010,College_Creek,3,1
128200,894,1976,2010,College_Creek,3,1
127000,876,1972,2010,College_Creek,3,1
318000,1978,2003,2010,College_Creek,3,2
272000,1601,2001,2010,College_Creek,3,2
237000,1829,2003,2010,College_Creek,3,2
240000,2098,1997,2010,College_Creek,4,2
224900,1661,1998,2010,College_Creek,3,2
143750,848,2003,2010,College_Creek,1,1
143000,848,2004,2010,College_Creek,1,1
232000,1668,2003,2010,College_Creek,3,2
213000,1484,2004,2010,College_Creek,3,2
185500,1414,2004,2010,College_Creek,3,2
95000,1699,1900,2009,Old_Town,3,2
99900,792,1958,2009,Old_Town,2,1
135000,1656,1916,2009,Old_Town,3,2
149000,1352,1939,2009,Old_Town,4,2
114000,1039,1900,2009,Old_Town,2,1
109500,792,1924,2009,Old_Town,2,1
125000,1078,1925,2009,Old_Town,3,1
142900,2377,1915,2009,Old_Town,3,2
156500,1690,1910,2009,Old_Town,4,2
59000,599,1940,2009,Old_Town,2,1
105000,1374,1920,2009,Old_Town,2,1
106000,846,1920,2009,Old_Town,2,1
78500,725,1890,2009,Old_Town,1,1
115000,1224,1926,2009,Old_Town,3,1
110000,1230,1910,2009,Old_Town,2,1
128900,1378,1935,2009,Old_Town,3,1
103500,1944,1910,2009,Old_Town,4,2
66500,1131,1941,2009,Old_Town,3,1
130000,1306,1910,2009,Old_Town,3,1
129000,1464,1910,2009,Old_Town,3,2
150000,1558,1939,2009,Old_Town,3,1
107500,2372,1892,2009,Old_Town,4,2
94550,1701,1920,2009,Old_Town,4,2
124500,1960,1952,2009,Old_Town,4,2
135000,1389,1946,2009,Old_Town,3,1
103000,1447,1910,2009,Old_Town,3,1
93000,936,1953,2009,Old_Town,2,1
129500,1328,1950,2009,Old_Town,3,1
93000,1387,1954,2009,Old_Town,3,2
80000,861,1920,2009,Old_Town,2,1
45000,612,1940,2009,Old_Town,1,1
37900,968,1910,2009,Old_Town,2,1
91300,886,1938,2009,Old_Town,2,1
99500,792,1923,2009,Old_Town,2,1
113000,1452,1920,2009,Old_Town,2,2
87500,1510,1910,2009,Old_Town,3,2
110000,1284,1947,2009,Old_Town,2,1
106000,2138,1898,2009,Old_Town,2,2
265979,2640,1880,2009,Old_Town,4,1
160000,2007,1900,2009,Old_Town,3,2
